"";"TERYT4";"AGE_GROUP";"GENDER";"predykcja"
"1";2604;1;"<0-44>";9,01965527885248
"2";605;1;"<0-44>";2,62904429542578
"3";1820;1;"<0-44>";2,53937482172415
"4";611;1;"<0-44>";5,31596775054976
"5";406;1;"<0-44>";1,73332878740549
"6";602;1;"<0-44>";4,57136987345429
"7";801;1;"<0-44>";3,88327609355432
"8";603;1;"<0-44>";4,13436869246927
"9";1423;1;"<0-44>";1,89598941089988
"10";2813;1;"<0-44>";1,3596924580966
"11";1429;1;"<0-44>";2,40140455157978
"12";1410;1;"<0-44>";1,98870639547362
"13";1411;1;"<0-44>";2,38652288195272
"14";1602;1;"<0-44>";2,4271151440277
"15";1611;1;"<0-44>";3,62779440195647
"16";206;1;"<0-44>";3,06183273634534
"17";3008;1;"<0-44>";0
"18";404;1;"<0-44>";2,97559651230115
"19";203;1;"<0-44>";4,24517282823359
"20";1419;1;"<0-44>";5,18747173958057
"21";1424;1;"<0-44>";2,25665015604317
"22";2606;1;"<0-44>";2,13497710573796
"23";1606;1;"<0-44>";2,07501483534279
"24";2802;1;"<0-44>";1,61141660344073
"25";2213;1;"<0-44>";5,8341636064427
"26";1422;1;"<0-44>";2,30102839631573
"27";805;1;"<0-44>";2,66155931410143
"28";2204;1;"<0-44>";4,60502001141968
"29";414;1;"<0-44>";5,15002068261981
"30";1821;1;"<0-44>";0
"31";606;1;"<0-44>";2,89882189978362
"32";224;1;"<0-44>";3,31174157274777
"33";202;1;"<0-44>";5,09455623556224
"34";806;1;"<0-44>";3,31551674014597
"35";1432;1;"<0-44>";6,57426928171597
"36";205;1;"<0-44>";2,51756939737149
"37";3204;1;"<0-44>";3,9906060624767
"38";2470;1;"<0-44>";3,75567554944405
"39";2468;1;"<0-44>";4,65798427537578
"40";1405;1;"<0-44>";5,32341227867433
"41";861;1;"<0-44>";7,4844485710155
"42";2465;1;"<0-44>";3,62499596269522
"43";662;1;"<0-44>";3,8142111452829
"44";264;1;"<0-44>";43,8634102278534
"45";2474;1;"<0-44>";5,18456893049211
"46";3064;1;"<0-44>";40,222804545461
"47";3062;1;"<0-44>";4,40753786124754
"48";2604;2;"<45-54>";19,235348175233
"49";605;2;"<45-54>";4,76050307680409
"50";1820;2;"<45-54>";5,32039843590495
"51";611;2;"<45-54>";9,99327275882752
"52";406;2;"<45-54>";3,92806146840678
"53";602;2;"<45-54>";10,4784340009783
"54";801;2;"<45-54>";6,29735502235042
"55";603;2;"<45-54>";7,98672537166445
"56";1423;2;"<45-54>";3,8488998289028
"57";2813;2;"<45-54>";2,972435315476
"58";1429;2;"<45-54>";5,41460556022218
"59";1410;2;"<45-54>";3,30620336900056
"60";1411;2;"<45-54>";4,83600752696364
"61";1602;2;"<45-54>";4,77307662159649
"62";1611;2;"<45-54>";7,36644459291005
"63";206;2;"<45-54>";6,0024652097934
"64";3008;2;"<45-54>";6,77967139746199
"65";404;2;"<45-54>";4,81610730920873
"66";203;2;"<45-54>";8,07003486009311
"67";1419;2;"<45-54>";11,0462476359861
"68";1424;2;"<45-54>";6,00918230876044
"69";2606;2;"<45-54>";5,63642755222461
"70";1606;2;"<45-54>";4,05303101540276
"71";2802;2;"<45-54>";3,53416352938154
"72";2213;2;"<45-54>";12,2370673862852
"73";1422;2;"<45-54>";5,03240931697612
"74";805;2;"<45-54>";5,53681175499652
"75";2204;2;"<45-54>";10,7536835269238
"76";414;2;"<45-54>";9,3306390116851
"77";1821;2;"<45-54>";2,35930822714838
"78";606;2;"<45-54>";6,75456817043913
"79";224;2;"<45-54>";5,97206666861093
"80";202;2;"<45-54>";10,2871656041901
"81";806;2;"<45-54>";4,87058756895508
"82";1432;2;"<45-54>";11,7289142866799
"83";205;2;"<45-54>";6,29735452311089
"84";3204;2;"<45-54>";9,0481349634394
"85";2470;2;"<45-54>";8,11644617472568
"86";2468;2;"<45-54>";9,76084267249764
"87";1405;2;"<45-54>";9,5562005690544
"88";861;2;"<45-54>";14,8392986724513
"89";2465;2;"<45-54>";11,0574008818345
"90";662;2;"<45-54>";6,80498808300609
"91";264;2;"<45-54>";75,2603553937971
"92";2474;2;"<45-54>";9,02083402342776
"93";3064;2;"<45-54>";70,3494977080836
"94";3062;2;"<45-54>";7,53443491694893
"95";2604;3;"<55-64>";27,5761041263312
"96";605;3;"<55-64>";5,74076114648559
"97";1820;3;"<55-64>";8,52264160487315
"98";611;3;"<55-64>";15,8922817893408
"99";406;3;"<55-64>";5,72363581026932
"100";602;3;"<55-64>";14,574717634518
"101";801;3;"<55-64>";9,77505099940235
"102";603;3;"<55-64>";11,5872180075373
"103";1423;3;"<55-64>";6,11172782083621
"104";2813;3;"<55-64>";4,93114433198985
"105";1429;3;"<55-64>";8,13103472668023
"106";1410;3;"<55-64>";4,81103361513447
"107";1411;3;"<55-64>";6,31742676615113
"108";1602;3;"<55-64>";7,6293347705458
"109";1611;3;"<55-64>";11,2320150816897
"110";206;3;"<55-64>";8,60064947027689
"111";3008;3;"<55-64>";8,82698763225983
"112";404;3;"<55-64>";7,43768390437865
"113";203;3;"<55-64>";13,3191275595421
"114";1419;3;"<55-64>";16,4703581073827
"115";1424;3;"<55-64>";7,60257616281679
"116";2606;3;"<55-64>";6,95522285670628
"117";1606;3;"<55-64>";6,70703949366344
"118";2802;3;"<55-64>";5,7688410659941
"119";2213;3;"<55-64>";18,2116377668219
"120";1422;3;"<55-64>";8,01193384469065
"121";805;3;"<55-64>";7,08222236911134
"122";2204;3;"<55-64>";14,7762730843336
"123";414;3;"<55-64>";14,512043841715
"124";1821;3;"<55-64>";4,04004972790877
"125";606;3;"<55-64>";10,278826284074
"126";224;3;"<55-64>";8,88058126567362
"127";202;3;"<55-64>";15,2658265342542
"128";806;3;"<55-64>";7,05129156719131
"129";1432;3;"<55-64>";17,8638896598595
"130";205;3;"<55-64>";8,00913034353784
"131";3204;3;"<55-64>";12,5903299128522
"132";2470;3;"<55-64>";12,7737598682705
"133";2468;3;"<55-64>";15,2207195790682
"134";1405;3;"<55-64>";14,1677124844762
"135";861;3;"<55-64>";21,4307692222271
"136";2465;3;"<55-64>";30,5477758278648
"137";662;3;"<55-64>";12,8806532266114
"138";264;3;"<55-64>";112,898435262644
"139";2474;3;"<55-64>";13,3326003225768
"140";3064;3;"<55-64>";104,413134540815
"141";3062;3;"<55-64>";15,38676944594
"142";2604;4;"<65-74>";15,9781963011545
"143";605;4;"<65-74>";4,52123700906596
"144";1820;4;"<65-74>";4,45457947129239
"145";611;4;"<65-74>";9,3598530759244
"146";406;4;"<65-74>";3,2387803612937
"147";602;4;"<65-74>";8,63446460214904
"148";801;4;"<65-74>";6,31245507650245
"149";603;4;"<65-74>";7,15661951559457
"150";1423;4;"<65-74>";3,67115280090324
"151";2813;4;"<65-74>";2,53035587018535
"152";1429;4;"<65-74>";5,2545379714106
"153";1410;4;"<65-74>";0
"154";1411;4;"<65-74>";3,89163484441676
"155";1602;4;"<65-74>";3,96321896822582
"156";1611;4;"<65-74>";6,66772034623509
"157";206;4;"<65-74>";4,64481402027902
"158";3008;4;"<65-74>";4,64488664771845
"159";404;4;"<65-74>";4,85421460679217
"160";203;4;"<65-74>";6,79626984170612
"161";1419;4;"<65-74>";9,8051015165098
"162";1424;4;"<65-74>";4,28174041046462
"163";2606;4;"<65-74>";4,15209961332215
"164";1606;4;"<65-74>";3,88136603370118
"165";2802;4;"<65-74>";3,00529335331936
"166";2213;4;"<65-74>";11,1657013546202
"167";1422;4;"<65-74>";5,0760509223455
"168";805;4;"<65-74>";4,21989866233437
"169";2204;4;"<65-74>";8,45954864288658
"170";414;4;"<65-74>";8,19383864933682
"171";1821;4;"<65-74>";0
"172";606;4;"<65-74>";6,66020691223465
"173";224;4;"<65-74>";5,81258535318923
"174";202;4;"<65-74>";8,57851050318272
"175";806;4;"<65-74>";4,2368769909228
"176";1432;4;"<65-74>";10,4391312298836
"177";205;4;"<65-74>";4,20987925136513
"178";3204;4;"<65-74>";7,64905157592405
"179";2470;4;"<65-74>";9,67796050426662
"180";2468;4;"<65-74>";9,4211770391341
"181";1405;4;"<65-74>";9,16694300148259
"182";861;4;"<65-74>";13,5564328484056
"183";2465;4;"<65-74>";23,0555422749614
"184";662;4;"<65-74>";10,2965381302117
"185";264;4;"<65-74>";73,3008764528121
"186";2474;4;"<65-74>";9,72082814454685
"187";3064;4;"<65-74>";69,9613633334483
"188";3062;4;"<65-74>";11,4512272596343
"189";2604;5;"<75-84>";10,2994554841699
"190";605;5;"<75-84>";2,43786107489696
"191";1820;5;"<75-84>";2,65484174328596
"192";611;5;"<75-84>";5,73644598231381
"193";406;5;"<75-84>";1,94988285233673
"194";602;5;"<75-84>";5,31676600695814
"195";801;5;"<75-84>";4,09936755439448
"196";603;5;"<75-84>";4,75030216285384
"197";1423;5;"<75-84>";2,1311827779555
"198";2813;5;"<75-84>";1,54673495591117
"199";1429;5;"<75-84>";3,42086997819936
"200";1410;5;"<75-84>";1,80457130144532
"201";1411;5;"<75-84>";2,99513367031081
"202";1602;5;"<75-84>";3,42652933943802
"203";1611;5;"<75-84>";4,41018615991814
"204";206;5;"<75-84>";3,61148363547916
"205";3008;5;"<75-84>";3,31677175498299
"206";404;5;"<75-84>";3,0834096718878
"207";203;5;"<75-84>";4,44469146287231
"208";1419;5;"<75-84>";6,50432350739859
"209";1424;5;"<75-84>";2,53834085291857
"210";2606;5;"<75-84>";2,82125422925064
